Stack,Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"cda-iceberg-analytics","AwsSolutions-IAM4","cda-iceberg-analytics/FederationCrRole/Resource","Suppressed","[Policy::arn:<AWS::Partition>:iam::aws:policy/service-role/AWSLambdaBasicExecutionRole] AWSLambdaBasicExecutionRole grants the function write access to its own CloudWatch log group only. AWS-recommended logging baseline.","Error","The IAM user, role, or group uses AWS managed policies."
"cda-iceberg-analytics","AwsSolutions-IAM5","cda-iceberg-analytics/FederationCrRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"cda-iceberg-analytics","AwsSolutions-IAM5","cda-iceberg-analytics/FederationCrRole/DefaultPolicy/Resource","Suppressed","[Resource::*] glue:CreateCatalog/GetCatalog/DeleteCatalog and lakeformation:* Grant/Revoke/Get/PutDataLakeSettings are account-scoped admin APIs that do not accept resource-level ARNs (the Glue Catalog and the LF data-lake settings are account singletons). Resource:* is required by the AWS API contract. This role runs only at stack create/update as a one-shot federation bootstrap; it is not attached to any data-plane compute. The analytics stack is opt-in (enableAnalyticsStack=false by default) and deployed only after the pipeline is validated.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"cda-iceberg-analytics","AwsSolutions-L1","cda-iceberg-analytics/FederationCrFn/Resource","Compliant","N/A","Error","The non-container Lambda function is not configured to use the latest runtime version."
"cda-iceberg-analytics","AwsSolutions-IAM4","cda-iceberg-analytics/FederationCrProvider/framework-onEvent/ServiceRole/Resource","Suppressed","[Policy::arn:<AWS::Partition>:iam::aws:policy/service-role/AWSLambdaBasicExecutionRole] AWSLambdaBasicExecutionRole on the CDK-generated provider framework role (own-log-group write only).","Error","The IAM user, role, or group uses AWS managed policies."
"cda-iceberg-analytics","AwsSolutions-IAM5","cda-iceberg-analytics/FederationCrProvider/framework-onEvent/ServiceRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"cda-iceberg-analytics","AwsSolutions-IAM5","cda-iceberg-analytics/FederationCrProvider/framework-onEvent/ServiceRole/DefaultPolicy/Resource","Suppressed","[Resource::<FederationCrFnCC50D0D7.Arn>:*] lambda:InvokeFunction <fn-arn>:* version-qualifier wildcard auto-added by the CDK provider framework to invoke its own onEvent handler.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"cda-iceberg-analytics","AwsSolutions-L1","cda-iceberg-analytics/FederationCrProvider/framework-onEvent/Resource","Suppressed","Runtime of the CDK custom-resource provider framework Lambda is set by aws-cdk-lib, not by this stack. Tracked via CDK version upgrades.","Error","The non-container Lambda function is not configured to use the latest runtime version."
"cda-iceberg-analytics","AwsSolutions-IAM5","cda-iceberg-analytics/AnalystGrant0","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"cda-iceberg-emr","AwsSolutions-EC23","cda-iceberg-emr/ComputeSg/Resource","Compliant","N/A","Error","The Security Group allows for 0.0.0.0/0 or ::/0 inbound access."
